days before: -1; eligible_days: 63; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: -2; eligible_days: 61; eligible_days-days_before_cursed_mikes_mint: 63; 5*ed: 315
days before: -1; eligible_days: 63; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: 0; eligible_days: 63; eligible_days-days_before_cursed_mikes_mint: 63; 5*ed: 315
days before: -2; eligible_days: 61; eligible_days-days_before_cursed_mikes_mint: 63; 5*ed: 315
days before: -1; eligible_days: 63; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: 0; eligible_days: 64; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: -1; eligible_days: 63; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: -4; eligible_days: 59; eligible_days-days_before_cursed_mikes_mint: 63; 5*ed: 315
days before: -1; eligible_days: 63; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: -1; eligible_days: 63; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: -1; eligible_days: 63; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: -2; eligible_days: 61; eligible_days-days_before_cursed_mikes_mint: 63; 5*ed: 315
days before: -1; eligible_days: 62; eligible_days-days_before_cursed_mikes_mint: 63; 5*ed: 315
days before: -1; eligible_days: 62; eligible_days-days_before_cursed_mikes_mint: 63; 5*ed: 315
days before: 0; eligible_days: 64; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: -2; eligible_days: 62; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: -1; eligible_days: 63; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: -1; eligible_days: 63; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: -1; eligible_days: 63; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: -1; eligible_days: 63; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: -1; eligible_days: 63; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: 0; eligible_days: 64; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: 0; eligible_days: 64; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: -1; eligible_days: 63; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: -1; eligible_days: 63; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: -5; eligible_days: 59; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: -2; eligible_days: 61; eligible_days-days_before_cursed_mikes_mint: 63; 5*ed: 315
days before: -9; eligible_days: 54; eligible_days-days_before_cursed_mikes_mint: 63; 5*ed: 315
days before: -1; eligible_days: 63; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: -4; eligible_days: 59; eligible_days-days_before_cursed_mikes_mint: 63; 5*ed: 315
days before: -1; eligible_days: 63; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: -1; eligible_days: 62; eligible_days-days_before_cursed_mikes_mint: 63; 5*ed: 315
days before: -9; eligible_days: 54; eligible_days-days_before_cursed_mikes_mint: 63; 5*ed: 315
days before: 0; eligible_days: 64; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: -1; eligible_days: 63; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: -1; eligible_days: 62; eligible_days-days_before_cursed_mikes_mint: 63; 5*ed: 315
days before: -1; eligible_days: 63; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: -1; eligible_days: 62; eligible_days-days_before_cursed_mikes_mint: 63; 5*ed: 315
days before: -1; eligible_days: 62; eligible_days-days_before_cursed_mikes_mint: 63; 5*ed: 315
days before: -1; eligible_days: 63; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: -1; eligible_days: 63; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: -5; eligible_days: 58; eligible_days-days_before_cursed_mikes_mint: 63; 5*ed: 315
days before: -1; eligible_days: 63; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: 0; eligible_days: 64; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: -1; eligible_days: 63; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: -4; eligible_days: 59; eligible_days-days_before_cursed_mikes_mint: 63; 5*ed: 315
days before: 0; eligible_days: 64; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: 0; eligible_days: 64; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: -1; eligible_days: 63; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: -2; eligible_days: 62; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: -1; eligible_days: 63; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: -1; eligible_days: 63; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: -1; eligible_days: 63; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: -1; eligible_days: 63; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: -1; eligible_days: 63; eligible_days-days_before_cursed_mikes_mint: 64; 5*ed: 320
days before: -1; eligible_days: 62; eligible_days-days_before_cursed_mikes_mint: 63; 5*ed: 315
days before: -4; eligible_days: 59; eligible_days-days_before_cursed_mikes_mint: 63; 5*ed: 315
